name,year,index,citation
William Ball,1660,37,4025
William Brouncker,1660,NULL,NULL
Jonathan Goddard,1660,9,260
Abraham Hill,1660,NULL,NULL
Robert Moray,1660,NULL,NULL
Paul Neile,1660,NULL,NULL
William Petty,1660,7,155
Lawrence Rooke,1660,NULL,NULL
John Austin,1660,38,8265
George Bate,1660,6,140
Giles Rawlins,1660,NULL,NULL
Elias Ashmole,1661,NULL,NULL
John Gauden,1661,NULL,NULL
Francis Glisson,1661,NULL,NULL
Sir Robert Harley,1661,44,5759
Mungo Murray,1661,NULL,NULL
Thomas Pockley,1661,NULL,NULL
George Villiers,1661,NULL,NULL
Richard White,1661,50,8630
Isaac Barrow,1662,NULL,NULL
Sir John Brooke,1662,21,1329
Ralph Cudworth,1662,NULL,NULL
John Graunt,1662,NULL,NULL
George Lane,1662,8,293
William Schroter,1662,NULL,NULL
Robert Spencer,1662,32,6397
Henry de Vic,1662,12,696
Robert Boyle,1663,30,3036
Alexander Bruce,1663,12,589
John Wilkins,1663,53,11639
Christopher Wren,1663,34,3891
John Alleyn,1663,NULL,NULL
James Annesley,1663,4,40
John Aubrey,1663, ,0
Sir Thomas Baines,1663,3,47
Peter Ball,1663,21,1498
Ralph Bathurst,1663,4,37
John Beale,1663,22,1330
George Berkeley,1663,1,3
Sir John Birkenhead,1663,NULL,NULL
Richard Boyle,1663,18,1456
William Brereton,1663,2,30
Robert Bruce,1663,37,7056
David Bruce,1663,31,5779
Sir Edward Bysshe,1663,NULL,NULL
Archibald Campbell,1663, ,0
William Cavendish,1663,3,333
William Cavendish,1663,3,333
Walter Charlton,1663,NULL,NULL
Timothy Clarke,1663,9,572
Sir John Clayton,1663,18,1065
John Clotworthy,1663,NULL,NULL
Daniel Colwall,1663,NULL,NULL
James Compton,1663,7,252
Anthony Ashley Cooper,1663,2,9
Edward Cotton,1663,NULL,NULL
Thomas Coxe,1663,NULL,NULL
Thomas Coxe,1663,NULL,NULL
John Crawford-Lindsay,1663,NULL,NULL
John Creed,1663,32,2322
William Croone,1663,NULL,NULL
Sir John Denham,1663,2,43
Sir Kenelm Digby,1663,3,57
John Dryden,1663,14,715
Andrew Ellis,1663,34,5529
Sir George Ent,1663,NULL,NULL
William Erskine,1663,24,1405
John Evelyn,1663, ,0
Sir Francis Fane,1663,NULL,NULL
Nicasius le Febure,1663,NULL,NULL
Sir John Finch,1663,46,12842
Sir Henry Ford,1663,17,764
Sir Alexander Fraizer,1663,NULL,NULL
William Gomildon,1663,NULL,NULL
Theodore Haak,1663,NULL,NULL
William Hammond,1663,20,1618
Sir Edward Harley,1663,14,2169
Christopher Hatton,1663,38,4584
Sir James Hayes,1663,7,1261
Thomas Henshaw,1663,10,385
Nathaniel Henshaw,1663,NULL,NULL
William Hoare,1663,NULL,NULL
William Holder,1663,12,422
Robert Hooke,1663,1,592
Sir John Hoskins,1663,14,635
Charles Howard,1663,26,3574
Christian Huyghens,1663,NULL,NULL
Sir Justinian Isham,1663,NULL,NULL
Richard Jones,1663,40,6328
Sir Andrew King,1663,47,8690
Sir Ellis Leighton,1663,1,2
Sir James Long,1663,26,6328
Anthony Lowther,1663,NULL,NULL
John Lucas,1663,29,
Christopher Merrett,1663,2,14
Edward Montagu,1663,NULL,NULL
Henry Mordaunt,1663,NULL,NULL
Sir Anthony Morgan,1663,68,16492
Caspar Needham,1663,NULL,NULL
William Neile,1663,NULL,NULL
Sir Thomas Nott,1663,3,47
Henry Oldenburg,1663,NULL,NULL
Philip Packer,1663,6,76
Dudley Palmer,1663, ,0
Robert Paston,1663,NULL,NULL
John Pell,1663,2,17
Sir William Persall,1663,NULL,NULL
Peter Pett,1663,NULL,NULL
Sir Peter Pett,1663,NULL,NULL
Sir John Pettus,1663,8,288
Henry Pierrepont,1663,NULL,NULL
Walter Pope,1663,NULL,NULL
Francis Potter,1663,NULL,NULL
Thomas Povey,1663,12,463
Henry Power,1663,22,2057
Sir Richard Powle,1663,NULL,NULL
Henry Powle,1663,NULL,NULL
Henry Proby,1663,NULL,NULL
William Quatremain,1663,NULL,NULL
Sir Charles Scarburgh,1663,NULL,NULL
Sir James Shaen,1663,NULL,NULL
Henry Slingsby,1663,NULL,NULL
George Smyth,1663, ,0
Samuel Sorbiere,1663,NULL,NULL
Sir Robert Southwell,1663,NULL,NULL
Thomas Sprat,1663,NULL,NULL
Alexander Stanhope,1663,NULL,NULL
Thomas Stanley,1663,17,950
Sir John Talbot,1663,16,1261
Sir Gilbert Talbot,1663,NULL,NULL
Christopher Terne,1663,NULL,NULL
Sir Samuel Tuke,1663,NULL,NULL
Victor Beaufort Vabres de Fresars,1663,NULL,NULL
Cornelius Vermuyden,1663,NULL,NULL
Edmund Waller,1663,42,6810
John Wallis,1663,19,1342
Seth Ward,1663,1,2
Edward Waterhouse,1663,NULL,NULL
Daniel Whistler,1663,1,10
Sir Joseph Williamson,1663,47,8673
Thomas Willis,1663,24,15108
Francis Willughby,1663,NULL,NULL
John Winthrop,1663,2,46
Thomas Wren,1663,1,6
Matthew Wren,1663,1,4
Sir Peter Wyche,1663,1,8
Sir Cyril Wyche,1663,NULL,NULL
Edmund Wylde,1663,NULL,NULL
William Wynde,1663,NULL,NULL
Sir Robert Atkyns,1664,NULL,NULL
Nicholas Bagenall,1664,NULL,NULL
Charles Boyle,1664, ,0
Gilbert Burnett,1664,NULL,NULL
James Carkesse,1664,NULL,NULL
Sir Winston Churchill,1664,8,382
John Cutler,1664,9,421
Joseph Glanvill,1664,NULL,NULL
Sir William Godolphin,1664,24,
John Hay,1664,26,
John Hervey,1664, ,
Johannes Hevelius,1664,NULL,NULL
James Hoare,1664,18,1107
Sir John Lowther,1664,24,
Henry More,1664,NULL,NULL
Thomas Neale,1664,19,1555
John Newburgh,1664,NULL,NULL
Sir William Portman,1664,2,
Thomas Rolt,1664,NULL,NULL
"Sir Nicholas Slanning, 1st Baronet",1664,NULL,NULL
Edward Smith,1664,46,6320
Thomas Thynne,1664,NULL,NULL
Isaacus Vossius,1664,NULL,NULL
Roger Williams,1664,107,
Samuel Woodford,1664,NULL,NULL
Thomas Blount,1665,1,3
Sir Philippe Carteret,1665,NULL,NULL
Sir Richard Corbet,1665,NULL,NULL
Daniel Coxe,1665,NULL,NULL
John Dolben,1665,10,553
Vital de Dumas,1665,NULL,NULL
Sir William Hayward,1665,20,1571
Humphrey Henchman,1665,NULL,NULL
William Howard,1665,23,3825
Charles Howard,1665,26,3574
Edward Hyde,1665,12,537
Hugues Louis De Lionne,1665,NULL,NULL
George Monck,1665,NULL,NULL
Edward Montagu,1665,NULL,NULL
Samuel Pepys,1665,NULL,NULL
Prince Rupert,1665,NULL,NULL
Richard Sackville,1665,NULL,NULL
Gilbert Sheldon,1665,NULL,NULL
